external_id,title,company,domain_tag,total_skills,core_count
238381,Customer Success Officer (H/F),AMARIS FRANCE SAS,sales,2,0
237220,Middle Developer (H/F),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,engineering,2,0
242338,VIE FINANCE (H/F),BOUYGUES ENERGIES & SERVICES,finance,2,0
242367,Responsable financier H/F/X (H/F),INVENTEC PERFORMANCE CHEMICALS,operations,2,0
235316,International Learning Development & HR Project Manager (H/F),HAGER ELECTRO SAS,operations,2,0
238284,Site Reliability Engineer (SRE) – Batch Operations (H/F),ASF ACT DIGITAL,engineering,2,0
242543,V.I.E. Trustee Administrator (H/F),SOCIETE GENERALE,admin,2,0
228796,BUSINESS MANAGER (H/F),HEDON TECHNOLOGIES TOULOUSE,sales,2,0
237861,VIE – Business Development & Distribution Network Coordinator – Equine Veterinary Sector (Italy) (H/F),LIM FRANCE,sales,2,0
242141,Railway Engineer (H/F),IKOS CONSULTING,engineering,2,0
237045,INGENIEUR(E) CONCEPTION MECANIQUE (H/F),NGEN LILLE,engineering,2,0
237602,Consultant SAP HR (H/F),HCM CONSULTING PLUS,hr,2,0
230523,TECH LEAD (H/F),HELLO POMELO,engineering,2,0
242127,INGÉNIEUR(E) METHODES (H/F),SMART TREE,engineering,2,0
237133,Technico-commercial (H/F),ZERUX FRANCE,sales,2,0
242380,Analyste de risque de crédit (H/F),COMPAGNIE FRANCAISE D'ASSURANCE POUR LE COMMERCE EXTERIEUR,data,2,0
242331,Business Developer (H/F),EDF POWER SOLUTIONS,engineering,2,0
242142,Improvement Coordinator VIE (H/F),FAURECIA INTERIORS HOLDING,operations,2,0
232703,MANUFACTURING ENGINEER (M/F) (H/F),MOTEURS LEROY SOMER,engineering,2,0
238325,Business Developer Junior – AgriTech Afrique de l’Ouest (H/F),TELAQUA,sales,2,0
242539,Sales Coordinator (H/F),NAOS,sales,2,0
232908,COMMERCIAL / VENTE B2B ITALIE (H/F),MONSTOCK,supply,2,0
232231,REPRESENTANT TECHNICO COMMERCIAL (H/F),EJ PICARDIE,sales,2,0
238267,Junior Legal Counsel (H/F),ARCELORMITTAL FRANCE,legal,2,0
242296,Ingénieur Bureau d'Études Électrotechnique (H/F),GROUPE PSV,finance,2,0
242525,Contrôleur de gestion (H/F),EQUANS,finance,2,0
230179,BUSINESS MANAGER BXL H/F (H/F),EFE INTERNATIONAL,hr,2,0
242418,PROJECT ENGINEER (H/F),FORTIL GROUP,supply,2,0
237991,Mid Devops (H/F),ASF ACT DIGITAL,engineering,2,0
242069,Bid & Market Coordinator (H/F),ALTEN,sales,2,0
242130,INGÉNIEUR CHEF DE CHANTIER (H/F),ENVIROEARTH,engineering,2,0
237181,INGENIEUR GENIE ELECTRIQUE H/F (H/F),NGEN LILLE,engineering,2,0
237348,Business Applications Support Analyst (H/F),AMUNDI ASSET MANAGEMENT,data,2,0
238371,VIE Functional Excellence Support (H/F),VALEO COMFORT AND DRIVING ASSISTANCE,admin,2,0
238101,Assistant commercial et marketing (H/F),P.G.A ELECTRONIC,sales,2,0
237043,V.I.E Main Automation Vendor Package Engineer - F/H (H/F),TECHNIP ENERGIES FRANCE,engineering,2,0
242091,Training Operations and Project Specialist (H/F),AIRBUS,operations,2,0
242155,VIE - Quality Assurance Engineer - Horgen (Switzerland) (H/F),SCHNEIDER ELECTRIC INDUSTRIES SAS,engineering,2,0
242340,Chargé de développement commercial export (H/F),ANDROS ET CIE,supply,2,0
242461,GMA Contract manager (H/F),AVIONS TRANSPORT REGIONAL,legal,2,0
237574,Pre-Sales Architect V.I.E (H/F),SCALEWAY,sales,2,0
238158,Project Manager - Clinical Trials (H/F),CARDIABASE,supply,2,0
238022,Purchasing VIE (H/F),FAURECIA INTERIORS HOLDING,supply,2,0
229274,INGENIEUR CONCEPTION ELECTRONIQUE (H/F),CONCEPTION ELECTRONIQUE,operations,2,0
238440,Credit Officer (H/F),BANQUE TRANSATLANTIQUE,finance,2,0
238354,Ingénieur/Assistant Project Manager sur chantier de construction nucléaire - VIE bac +5 (H/F),ELECTRICITE DE FRANCE,operations,2,0
238402,HR Coordinator (H/F),CAPGEMINI TECHNOLOGY SERVICES,hr,2,0
237540,Commercial(e) (H/F),CLAYRTON'S,sales,2,0
238066,Recruiter (H/F),ADVISORY KEY FRANCE,hr,2,0
238443,Product & Technology Manufacturing Quality (H/F),STMICROELECTRONICS (TOURS) SAS,engineering,2,0
238249,Acheteur (H/F),STMICROELECTRONICS (TOURS) SAS,supply,2,0
232829,BIM MODELEUR STRUCTURES - (H/F),EXTIA,finance,2,0
